"","city","Nb2stage.ee","Nr2stage.ee","Nt2stage.ee"
"1","宜蘭縣",11481.6471444444,4395.47327777778,3385.77777777778
"2","花蓮縣",8334.96515714286,6492.42190714286,5100.21428571429
"3","金門縣",313.125,310.96575,187.5
"4","南投縣",26644.4142055556,7357.89735833333,5731.80555555555
"5","屏東縣",91753.90994,22150.5732316667,17026.7666666667
"6","苗栗縣",4097.393225,4058.2235375,2582.25
"7","桃園市",12313.4872722222,12492.3829506944,9494.22916666667
"8","高雄市",35262.7419861111,19606.0453583333,14848.0277777778
"9","基隆市",13874.0305642857,4099.97089285714,2826
"10","連江縣",0,0,0
"11","雲林縣",11449.7274983333,8257.80100666667,5002.43333333333
"12","新北市",25191.2701618039,13673.8225070392,10029.2164705882
"13","新竹市",2875.66842105263,1010.79632631579,776.947368421053
"14","新竹縣",4664.83333333333,4864.65176666667,3571.5
"15","嘉義市",1054.80415384615,1281.97504615385,1014.46153846154
"16","嘉義縣",165368.719770833,19447.50125,15183.7916666667
"17","彰化縣",22853.7981929293,11331.1395268687,7912.92424242424
"18","臺中市",11170.2874347826,7732.67083623188,5715.39130434783
"19","臺北市",8670.78084324324,3786.73491891892,2846.91891891892
"20","臺東縣",6631.40457777778,4644.17532222222,3223.22222222222
"21","臺南市",41389.8818513333,22687.0456513333,17266.9166666667
"22","澎湖縣",823.5,1598.16915,823.5
